"","nearby$results$name","nearby$results$formatted_address","nearby$results$rating","lat","lng","c(rep(keyword, nrow(loopmaster)))"
"18","Cafe Chinotto","2 Federation Sq, Melbourne VIC 3000, Australia",2.9,-37.817846,144.969482,"restaurants"
"19","EZARD","187 Flinders Ln, Melbourne VIC 3000, Australia",4.3,-37.81631,144.968326,"restaurants"
"20","Flora Indian Restaurant","238 Flinders St, Melbourne VIC 3000, Australia",3.5,-37.8175841,144.9664793,"restaurants"
"21","Arintji - Steak & Seafood","Federation Square, 2 Swanston St, Melbourne VIC 3000, Australia",3.5,-37.818197,144.968978,"restaurants"
"22","Chocolate Buddha","Federation Square, Swanston St & Flinders St, Melbourne VIC 3000, Australia",3.9,-37.8175246,144.9689087,"restaurants"
"23","Time Out Fed Square","Federation Square, 2 Swanston St, Melbourne VIC 3000, Australia",3.1,-37.8176453,144.9681522,"restaurants"
"24","Taxi Kitchen","Flinders St & Swanston St, Melbourne VIC 3000, Australia",4.1,-37.818441,144.968366,"restaurants"
"25","Beer DeLuxe Fed Square","Flinders St, Melbourne VIC 3000, Australia",3.8,-37.8174609,144.9694026,"restaurants"
"26","Il Pom Italian Fed Sqaure","2 Swanston St, Melbourne VIC 3000, Australia",3.4,-37.8182078,144.969229,"restaurants"
"27","MoVida Next Door","164 Flinders St, Melbourne VIC 3000, Australia",4.3,-37.816802,144.96918,"restaurants"
"28","Taxi Riverside","Tenancy 26/2 Swanston St, Melbourne VIC 3004, Australia",3.8,-37.8182938,144.9692826,"restaurants"
"29","Pilgrim Bar","Federation Wharf, 15-19 Federation Drive, Melbourne VIC 3000, Australia",3.8,-37.81875,144.969731,"restaurants"
"30","Nando's Flinders St","170 Flinders St, Melbourne VIC 3000, Australia",3.5,-37.8168298,144.9691026,"restaurants"
"31","The Grill at Beer DeLuxe","Federation Square, Flinders St, Melbourne VIC 3000, Australia",4.5,-37.817475,144.9694739,"restaurants"
"32","Riverland Bar","Federation Wharf, 1-9, Melbourne VIC 3000, Australia",4,-37.8187429,144.968743,"restaurants"
"33","Roule Galette","241 Flinders Ln, Melbourne VIC 3000, Australia",4.6,-37.81686,144.966301,"restaurants"
"34","ACMI Cafe & Bar","Federation Square, Melbourne VIC 3000, Australia",3.6,-37.8176991,144.9692046,"restaurants"
"35","Saké Restaurant & Bar Hamer Hall","100 St Kilda Rd, Melbourne VIC 3004, Australia",4,-37.819782,144.967895,"restaurants"
"36","Supernormal","180 Flinders Ln, Melbourne VIC 3000, Australia",4.5,-37.8159376,144.9682574,"restaurants"
